voter_count,precinct_code,political_party,precinct_description,election_date,election
189,509,DEMOCRATIC,PHILA WD 05 DIV 09,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,1916,NONE,PHILA WD 19 DIV 16,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,2513,NON-PARTISAN,PHILA WD 25 DIV 13,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
315,2623,DEMOCRATIC,PHILA WD 26 DIV 23,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,3217,OTHER,PHILA WD 32 DIV 17,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,3924,INDEPENDENT,PHILA WD 39 DIV 24,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,4125,LIBERTARIAN,PHILA WD 41 DIV 25,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,4801,NONE,PHILA WD 48 DIV 01,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,5408,OPEN,PHILA WD 54 DIV 08,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,5619,OPEN,PHILA WD 56 DIV 19,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
103,5633,DEMOCRATIC,PHILA WD 56 DIV 33,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
2,6305,LIBERTARIAN,PHILA WD 63 DIV 05,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
83,6515,DEMOCRATIC,PHILA WD 65 DIV 15,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,6608,NO PARTY,PHILA WD 66 DIV 08,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
2,101,INDEPENDENT,PHILA WD 01 DIV 01,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
5,101,NO AFFILIATION,PHILA WD 01 DIV 01,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
157,101,DEMOCRATIC,PHILA WD 01 DIV 01,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
3,101,REPUBLICAN,PHILA WD 01 DIV 01,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
187,102,DEMOCRATIC,PHILA WD 01 DIV 02,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,102,UNAFFILIATED,PHILA WD 01 DIV 02,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
5,102,NO AFFILIATION,PHILA WD 01 DIV 02,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
11,102,REPUBLICAN,PHILA WD 01 DIV 02,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
245,103,DEMOCRATIC,PHILA WD 01 DIV 03,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
17,103,REPUBLICAN,PHILA WD 01 DIV 03,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
7,103,NO AFFILIATION,PHILA WD 01 DIV 03,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,103,INDEPENDENT,PHILA WD 01 DIV 03,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
8,104,NO AFFILIATION,PHILA WD 01 DIV 04,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
24,104,REPUBLICAN,PHILA WD 01 DIV 04,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
170,104,DEMOCRATIC,PHILA WD 01 DIV 04,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
98,105,DEMOCRATIC,PHILA WD 01 DIV 05,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
10,105,REPUBLICAN,PHILA WD 01 DIV 05,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
3,105,NO AFFILIATION,PHILA WD 01 DIV 05,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,105,NO PARTY,PHILA WD 01 DIV 05,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
5,106,NO AFFILIATION,PHILA WD 01 DIV 06,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
5,106,REPUBLICAN,PHILA WD 01 DIV 06,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
92,106,DEMOCRATIC,PHILA WD 01 DIV 06,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,106,NONE,PHILA WD 01 DIV 06,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,106,OTHER,PHILA WD 01 DIV 06,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,106,UNKNOWN,PHILA WD 01 DIV 06,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
75,107,DEMOCRATIC,PHILA WD 01 DIV 07,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
4,107,REPUBLICAN,PHILA WD 01 DIV 07,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,107,NO AFFILIATION,PHILA WD 01 DIV 07,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
4,108,NO AFFILIATION,PHILA WD 01 DIV 08,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
7,108,REPUBLICAN,PHILA WD 01 DIV 08,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
100,108,DEMOCRATIC,PHILA WD 01 DIV 08,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,108,LIBERTARIAN,PHILA WD 01 DIV 08,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
5,109,NO AFFILIATION,PHILA WD 01 DIV 09,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
10,109,REPUBLICAN,PHILA WD 01 DIV 09,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
175,109,DEMOCRATIC,PHILA WD 01 DIV 09,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
1,110,CONSERVATIVE,PHILA WD 01 DIV 10,05/19/2015 12:00:00 AM,2015 MUNICIPAL PRIMARY
