election,election_date,precinct_code,precinct_description,political_party,voter_count
2016 GENERAL PRIMARY,4/26/2016,615,PHILA WD 06 DIV 15,NO PARTY,1
2016 GENERAL PRIMARY,4/26/2016,1103,PHILA WD 11 DIV 03,NO PARTY,3
2016 GENERAL PRIMARY,4/26/2016,101,PHILA WD 01 DIV 01,NO AFFILIATION,10
2016 GENERAL PRIMARY,4/26/2016,101,PHILA WD 01 DIV 01,UNKNOWN,1
2016 GENERAL PRIMARY,4/26/2016,101,PHILA WD 01 DIV 01,REPUBLICAN,13
2016 GENERAL PRIMARY,4/26/2016,101,PHILA WD 01 DIV 01,DEMOCRATIC,207
2016 GENERAL PRIMARY,4/26/2016,101,PHILA WD 01 DIV 01,GREEN,1
2016 GENERAL PRIMARY,4/26/2016,101,PHILA WD 01 DIV 01,INDEPENDENT,1
2016 GENERAL PRIMARY,4/26/2016,102,PHILA WD 01 DIV 02,REPUBLICAN,38
2016 GENERAL PRIMARY,4/26/2016,102,PHILA WD 01 DIV 02,DEMOCRATIC,288
2016 GENERAL PRIMARY,4/26/2016,102,PHILA WD 01 DIV 02,NO AFFILIATION,11
2016 GENERAL PRIMARY,4/26/2016,102,PHILA WD 01 DIV 02,NO PARTY,1
2016 GENERAL PRIMARY,4/26/2016,102,PHILA WD 01 DIV 02,INDEPENDENT,1
2016 GENERAL PRIMARY,4/26/2016,102,PHILA WD 01 DIV 02,OTHER,2
2016 GENERAL PRIMARY,4/26/2016,103,PHILA WD 01 DIV 03,NO PARTY,1
2016 GENERAL PRIMARY,4/26/2016,103,PHILA WD 01 DIV 03,NO AFFILIATION,5
2016 GENERAL PRIMARY,4/26/2016,103,PHILA WD 01 DIV 03,GREEN,2
2016 GENERAL PRIMARY,4/26/2016,103,PHILA WD 01 DIV 03,DEMOCRATIC,318
2016 GENERAL PRIMARY,4/26/2016,103,PHILA WD 01 DIV 03,REPUBLICAN,37
2016 GENERAL PRIMARY,4/26/2016,104,PHILA WD 01 DIV 04,NO PARTY,1
2016 GENERAL PRIMARY,4/26/2016,104,PHILA WD 01 DIV 04,REPUBLICAN,65
2016 GENERAL PRIMARY,4/26/2016,104,PHILA WD 01 DIV 04,DEMOCRATIC,242
2016 GENERAL PRIMARY,4/26/2016,104,PHILA WD 01 DIV 04,GREEN,1
2016 GENERAL PRIMARY,4/26/2016,104,PHILA WD 01 DIV 04,NO AFFILIATION,15
2016 GENERAL PRIMARY,4/26/2016,105,PHILA WD 01 DIV 05,LIBERTARIAN,2
2016 GENERAL PRIMARY,4/26/2016,105,PHILA WD 01 DIV 05,REPUBLICAN,11
2016 GENERAL PRIMARY,4/26/2016,105,PHILA WD 01 DIV 05,DEMOCRATIC,124
2016 GENERAL PRIMARY,4/26/2016,106,PHILA WD 01 DIV 06,DEMOCRATIC,172
2016 GENERAL PRIMARY,4/26/2016,106,PHILA WD 01 DIV 06,REPUBLICAN,9
2016 GENERAL PRIMARY,4/26/2016,106,PHILA WD 01 DIV 06,NO AFFILIATION,4
2016 GENERAL PRIMARY,4/26/2016,107,PHILA WD 01 DIV 07,UNKNOWN,1
2016 GENERAL PRIMARY,4/26/2016,107,PHILA WD 01 DIV 07,NO AFFILIATION,6
2016 GENERAL PRIMARY,4/26/2016,107,PHILA WD 01 DIV 07,DEMOCRATIC,154
2016 GENERAL PRIMARY,4/26/2016,107,PHILA WD 01 DIV 07,REPUBLICAN,9
2016 GENERAL PRIMARY,4/26/2016,108,PHILA WD 01 DIV 08,LIBERTARIAN,1
2016 GENERAL PRIMARY,4/26/2016,108,PHILA WD 01 DIV 08,NO AFFILIATION,5
2016 GENERAL PRIMARY,4/26/2016,108,PHILA WD 01 DIV 08,REPUBLICAN,22
2016 GENERAL PRIMARY,4/26/2016,108,PHILA WD 01 DIV 08,DEMOCRATIC,193
2016 GENERAL PRIMARY,4/26/2016,109,PHILA WD 01 DIV 09,NO AFFILIATION,8
2016 GENERAL PRIMARY,4/26/2016,109,PHILA WD 01 DIV 09,NONE,1
2016 GENERAL PRIMARY,4/26/2016,109,PHILA WD 01 DIV 09,REPUBLICAN,28
2016 GENERAL PRIMARY,4/26/2016,109,PHILA WD 01 DIV 09,DEMOCRATIC,209
2016 GENERAL PRIMARY,4/26/2016,110,PHILA WD 01 DIV 10,INDEPENDENT,2
2016 GENERAL PRIMARY,4/26/2016,110,PHILA WD 01 DIV 10,LIBERTARIAN,1
2016 GENERAL PRIMARY,4/26/2016,110,PHILA WD 01 DIV 10,DEMOCRATIC,240
2016 GENERAL PRIMARY,4/26/2016,110,PHILA WD 01 DIV 10,NO AFFILIATION,8
2016 GENERAL PRIMARY,4/26/2016,110,PHILA WD 01 DIV 10,REPUBLICAN,21
2016 GENERAL PRIMARY,4/26/2016,111,PHILA WD 01 DIV 11,REPUBLICAN,32
2016 GENERAL PRIMARY,4/26/2016,111,PHILA WD 01 DIV 11,NO AFFILIATION,10
2016 GENERAL PRIMARY,4/26/2016,111,PHILA WD 01 DIV 11,DEMOCRATIC,359
2016 GENERAL PRIMARY,4/26/2016,111,PHILA WD 01 DIV 11,INDEPENDENT,1
