election,election_date,precinct_description,precinct_code,political_party,voter_count
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 01,101,DEMOCRATIC,158
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 01,101,NO AFFILIATION,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 01,101,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 01,101,REPUBLICAN,9
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 02,102,DEMOCRATIC,174
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 02,102,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 02,102,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 02,102,OTHER,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 02,102,REPUBLICAN,8
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 03,103,DEMOCRATIC,243
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 03,103,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 03,103,NO AFFILIATION,5
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 03,103,REPUBLICAN,16
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 04,104,DEMOCRATIC,183
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 04,104,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 04,104,REPUBLICAN,28
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 05,105,DEMOCRATIC,84
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 05,105,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 05,105,NON-PARTISAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 05,105,REPUBLICAN,7
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 06,106,DEMOCRATIC,114
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 06,106,GREEN,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 06,106,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 06,106,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 06,106,REPUBLICAN,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 07,107,DEMOCRATIC,67
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 07,107,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 07,107,LIBERTARIAN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 07,107,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 07,107,REPUBLICAN,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 08,108,DEMOCRATIC,132
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 08,108,NO AFFILIATION,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 08,108,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 08,108,REPUBLICAN,11
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 09,109,DEMOCRATIC,150
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 01 DIV 09,109,NO AFFILIATION,3
